"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-20,"AP",1,1,NA,NA,NA,NA,NA
"2",2020-03-21,"AP",1,2,NA,NA,NA,NA,NA
"3",2020-03-22,"AP",1,3,NA,NA,NA,NA,NA
"4",2020-03-23,"AP",1,4,NA,NA,NA,NA,NA
"5",2020-03-24,"AP",1,5,NA,NA,NA,NA,NA
"6",2020-03-25,"AP",2,6,NA,NA,NA,NA,NA
"7",2020-03-26,"AP",2,7,NA,NA,NA,NA,NA
"8",2020-03-27,"AP",3,8,NA,NA,NA,NA,NA
"9",2020-03-28,"AP",4,9,NA,NA,NA,NA,NA
"10",2020-03-29,"AP",8,10,NA,NA,NA,NA,NA
"11",2020-03-30,"AP",8,11,NA,NA,NA,NA,NA
"12",2020-03-31,"AP",10,12,NA,NA,NA,NA,NA
"13",2020-04-01,"AP",11,13,NA,NA,NA,NA,NA
"14",2020-04-02,"AP",12,14,NA,NA,NA,NA,NA
"15",2020-04-03,"AP",19,15,NA,NA,NA,NA,NA
"16",2020-04-04,"AP",29,16,NA,NA,NA,NA,NA
"17",2020-04-05,"AP",32,17,NA,NA,NA,NA,NA
"18",2020-04-06,"AP",39,18,NA,NA,NA,NA,NA
"19",2020-04-07,"AP",51,19,NA,NA,NA,NA,NA
"20",2020-04-08,"AP",107,20,NA,NA,NA,NA,NA
"21",2020-04-09,"AP",110,21,NA,NA,NA,NA,NA
"22",2020-04-10,"AP",166,22,NA,NA,NA,NA,NA
"23",2020-04-11,"AP",193,23,NA,NA,NA,NA,NA
"24",2020-04-12,"AP",237,24,NA,NA,NA,NA,NA
"25",2020-04-13,"AP",244,25,NA,NA,NA,NA,NA
"26",2020-04-14,"AP",308,26,NA,NA,NA,NA,NA
"27",2020-04-15,"AP",342,27,NA,NA,NA,NA,NA
"28",2020-04-16,"AP",362,28,NA,NA,NA,NA,NA
"29",2020-04-17,"AP",375,29,NA,NA,NA,NA,NA
"30",2020-04-18,"AP",400,30,NA,NA,NA,NA,NA
"31",2020-04-19,"AP",416,31,NA,NA,NA,NA,NA
"32",2020-04-20,"AP",435,32,NA,NA,NA,NA,NA
"33",2020-04-21,"AP",466,33,NA,NA,NA,NA,NA
"34",2020-04-22,"AP",492,34,NA,NA,NA,NA,NA
"35",2020-04-23,"AP",555,35,NA,NA,NA,NA,NA
"36",2020-04-24,"AP",648,36,NA,NA,NA,NA,NA
"37",2020-04-25,"AP",689,37,NA,NA,NA,NA,NA
"38",2020-04-26,"AP",821,38,NA,NA,NA,NA,NA
"39",2020-04-27,"AP",842,39,NA,NA,NA,NA,NA
"40",2020-04-28,"AP",918,40,NA,NA,NA,NA,NA
"41",2020-04-29,"AP",1016,41,NA,NA,NA,NA,NA
"42",2020-04-30,"AP",1080,42,NA,NA,NA,NA,NA
"43",2020-05-01,"AP",1121,43,NA,NA,NA,NA,NA
"44",2020-05-02,"AP",1187,44,NA,NA,NA,NA,NA
"45",2020-05-03,"AP",1482,45,NA,NA,NA,NA,NA
"46",2020-05-04,"AP",1733,46,NA,NA,NA,NA,NA
"47",2020-05-05,"AP",1931,47,NA,NA,NA,NA,NA
"48",2020-05-06,"AP",2046,48,NA,NA,NA,NA,NA
"49",2020-05-07,"AP",2199,49,NA,NA,NA,NA,NA
"50",2020-05-08,"AP",2322,50,NA,NA,NA,NA,NA
"51",2020-05-09,"AP",2493,51,NA,NA,NA,NA,NA
"52",2020-05-10,"AP",2613,52,NA,NA,NA,NA,NA
"53",2020-05-11,"AP",2671,53,NA,NA,NA,NA,NA
"54",2020-05-12,"AP",2910,54,NA,NA,NA,NA,NA
"55",2020-05-13,"AP",3005,55,NA,NA,NA,NA,NA
"56",2020-05-14,"AP",3428,56,NA,NA,NA,NA,NA
"57",2020-05-15,"AP",3630,57,NA,NA,NA,NA,NA
