"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-05,"RJ",1,1,NA,NA,NA,NA,NA
"2",2020-03-06,"RJ",2,2,NA,NA,NA,NA,NA
"3",2020-03-08,"RJ",3,3,NA,NA,NA,NA,NA
"4",2020-03-12,"RJ",15,4,NA,NA,NA,NA,NA
"5",2020-03-15,"RJ",24,5,NA,NA,NA,NA,NA
"6",2020-03-16,"RJ",25,6,NA,NA,NA,NA,NA
"7",2020-03-18,"RJ",63,7,NA,NA,NA,NA,NA
"8",2020-03-19,"RJ",66,8,NA,NA,NA,NA,NA
"9",2020-03-21,"RJ",119,9,NA,NA,NA,NA,NA
"10",2020-03-22,"RJ",186,10,NA,NA,NA,NA,NA
"11",2020-03-23,"RJ",233,11,NA,NA,NA,NA,NA
"12",2020-03-24,"RJ",305,12,NA,NA,NA,NA,NA
"13",2020-03-25,"RJ",370,13,NA,NA,NA,NA,NA
"14",2020-03-26,"RJ",421,14,NA,NA,NA,NA,NA
"15",2020-03-27,"RJ",493,15,NA,NA,NA,NA,NA
"16",2020-03-28,"RJ",558,16,NA,NA,NA,NA,NA
"17",2020-03-29,"RJ",600,17,NA,NA,NA,NA,NA
"18",2020-03-30,"RJ",657,18,NA,NA,NA,NA,NA
"19",2020-03-31,"RJ",708,19,NA,NA,NA,NA,NA
"20",2020-04-01,"RJ",832,20,NA,NA,NA,NA,NA
"21",2020-04-02,"RJ",992,21,NA,NA,NA,NA,NA
"22",2020-04-03,"RJ",1074,22,NA,NA,NA,NA,NA
"23",2020-04-04,"RJ",1246,23,NA,NA,NA,NA,NA
"24",2020-04-05,"RJ",1394,24,NA,NA,NA,NA,NA
"25",2020-04-06,"RJ",1461,25,NA,NA,NA,NA,NA
"26",2020-04-07,"RJ",1688,26,NA,NA,NA,NA,NA
"27",2020-04-08,"RJ",1938,27,NA,NA,NA,NA,NA
"28",2020-04-09,"RJ",2216,28,NA,NA,NA,NA,NA
"29",2020-04-10,"RJ",2464,29,NA,NA,NA,NA,NA
"30",2020-04-11,"RJ",2607,30,NA,NA,NA,NA,NA
"31",2020-04-12,"RJ",2855,31,NA,NA,NA,NA,NA
"32",2020-04-13,"RJ",3221,32,NA,NA,NA,NA,NA
"33",2020-04-14,"RJ",3410,33,NA,NA,NA,NA,NA
"34",2020-04-15,"RJ",3743,34,NA,NA,NA,NA,NA
"35",2020-04-16,"RJ",3944,35,NA,NA,NA,NA,NA
"36",2020-04-17,"RJ",4349,36,NA,NA,NA,NA,NA
"37",2020-04-18,"RJ",4543,37,NA,NA,NA,NA,NA
"38",2020-04-19,"RJ",4675,38,NA,NA,NA,NA,NA
"39",2020-04-20,"RJ",4899,39,NA,NA,NA,NA,NA
"40",2020-04-21,"RJ",5306,40,NA,NA,NA,NA,NA
"41",2020-04-22,"RJ",5552,41,NA,NA,NA,NA,NA
"42",2020-04-23,"RJ",6172,42,NA,NA,NA,NA,NA
"43",2020-04-24,"RJ",6282,43,NA,NA,NA,NA,NA
"44",2020-04-25,"RJ",6828,44,NA,NA,NA,NA,NA
"45",2020-04-26,"RJ",7111,45,NA,NA,NA,NA,NA
"46",2020-04-27,"RJ",7944,46,NA,NA,NA,NA,NA
"47",2020-04-28,"RJ",8504,47,NA,NA,NA,NA,NA
"48",2020-04-29,"RJ",8869,48,NA,NA,NA,NA,NA
"49",2020-04-30,"RJ",9453,49,NA,NA,NA,NA,NA
"50",2020-05-01,"RJ",10166,50,NA,NA,NA,NA,NA
"51",2020-05-02,"RJ",10546,51,NA,NA,NA,NA,NA
"52",2020-05-03,"RJ",11139,52,NA,NA,NA,NA,NA
"53",2020-05-04,"RJ",11721,53,NA,NA,NA,NA,NA
"54",2020-05-05,"RJ",12391,54,NA,NA,NA,NA,NA
"55",2020-05-06,"RJ",13295,55,NA,NA,NA,NA,NA
"56",2020-05-07,"RJ",14156,56,NA,NA,NA,NA,NA
"57",2020-05-08,"RJ",15741,57,NA,NA,NA,NA,NA
"58",2020-05-09,"RJ",16929,58,NA,NA,NA,NA,NA
"59",2020-05-10,"RJ",17062,59,NA,NA,NA,NA,NA
"60",2020-05-11,"RJ",17939,60,NA,NA,NA,NA,NA
"61",2020-05-12,"RJ",18486,61,NA,NA,NA,NA,NA
"62",2020-05-13,"RJ",18728,62,NA,NA,NA,NA,NA
"63",2020-05-14,"RJ",19467,63,NA,NA,NA,NA,NA
"64",2020-05-15,"RJ",19987,64,NA,NA,NA,NA,NA
"65",2020-05-16,"RJ",21601,65,NA,NA,NA,NA,NA
"66",2020-05-17,"RJ",22238,66,NA,NA,NA,NA,NA
